"playerid","year","rank","playerfullname","playerusename","teamabbrev","teamname","leaguename","positionabbrev","position","primarypositionabbrev","plateappearances","totalbases","babip","walksperplateappearance","strikeoutsperplateappearance","homerunsperplateappearance","walksperstrikeout","iso","gamesplayed","runs","doubles","triples","homeruns","strikeouts","baseonballs","hits","avg","atbats","slg","rbi","numberofpitches","pitchesperplateappearance","caughtstealing","stolenbases","stolenbasepercentage","hitbypitch","obp","ops","sacbunts","groundintodoubleplay","sacflies","intentionalwalks","walkoffs","flyouts","totalswings","swingandmisses","ballsinplay","popouts","lineouts","groundouts","groundhits","catchersinterference"
592178,2016,9,"Kris Bryant","Kris","CHC","Chicago Cubs","NL","3B","Third Base","RF",699,334,".332","0.107","0.22","0.056","0.487","0.262",155,121,35,3,39,"154.0",75,176,"0.292",603,"0.554","102","2699","3.861","5","8","0.615","18","0.385","0.939","0","3","3","5","0","98","1309","368","452","39","38","101","44","0"
519203,2016,24,"Anthony Rizzo","Anthony","CHC","Chicago Cubs","NL","1B","First Base","1B",676,317,".309","0.109","0.16","0.047","0.685","0.252",155,94,43,4,32,"108.0",74,170,"0.292",583,"0.544","109","2656","3.929","5","3","0.375","16","0.385","0.929","0","13","3","8","1","96","1187","236","478","40","32","140","43","0"
608365,2016,89,"Addison Russell","Addison","CHC","Chicago Cubs","NL","SS","Shortstop","SS",598,219,".277","0.092","0.226","0.035","0.407","0.179",151,67,25,3,21,"135.0",55,125,"0.238",525,"0.417","95","2336","3.906","1","5","0.833","12","0.321","0.738","0","11","6","6","0","68","1161","340","396","42","35","126","42","0"
450314,2016,113,"Ben Zobrist","Ben","CHC","Chicago Cubs","NL","2B","Second Base","2B",631,233,".290","0.152","0.13","0.029","1.171","0.174",147,94,31,3,18,"82.0",96,142,"0.272",523,"0.446","76","2655","4.208","4","6","0.6","4","0.386","0.832","4","17","4","6","0","75","934","121","449","24","38","170","50","0"
595879,2016,144,"Javier BĂˇez","Javier","CHC","Chicago Cubs","NL","3B","Third Base","SS",450,178,".336","0.033","0.24","0.031","0.139","0.15",142,50,19,1,14,"108.0",15,115,"0.273",421,"0.423","59","1683","3.74","3","12","0.8","11","0.314","0.737","1","8","2","3","1","55","878","253","316","26","20","100","50","0"
451594,2016,161,"Deter Fowler","Deter","CHC","Chicago Cubs","NL","CF","Outfielder","CF",551,204,".350","0.143","0.225","0.024","0.637","0.171",125,84,25,7,13,"124.0",79,126,"0.276",456,"0.447","48","2429","4.408","4","13","0.765","11","0.393","0.84","1","3","4","0","0","63","947","209","337","17","32","99","42","0"
575929,2016,177,"Willson Contreras","Willson","CHC","Chicago Cubs","NL","C","Catcher","C",283,123,".339","0.092","0.237","0.042","0.388","0.206",76,33,14,1,12,"67.0",26,71,"0.282",252,"0.488","35","1129","3.989","2","2","0.5","4","0.357","0.845","0","7","1","0","0","22","535","167","186","3","14","76","25","0"
624585,2016,177,"Jorge Soler","Jorge","CHC","Chicago Cubs","NL","LF","Outfielder","RF",264,99,".276","0.117","0.25","0.045","0.47","0.198",86,37,9,0,12,"66.0",31,54,"0.238",227,"0.436","31","1068","4.045","0","0",NULL,"3","0.333","0.769","0","5","3","0","0","33","482","156","164","17","10","50","17","0"
424325,2016,205,"David Ross","David","CHC","Chicago Cubs","NL","C","Catcher","C",205,74,".262","0.146","0.263","0.049","0.556","0.217",67,24,6,0,10,"54.0",30,38,"0.229",166,"0.446","32","851","4.151","1","0","0","0","0.338","0.784","4","3","5","6","0","25","390","120","121","6","15","37","9","0"
471083,2016,232,"Miguel Montero","Miguel","CHC","Chicago Cubs","NL","C","Catcher","C",284,86,".249","0.134","0.204","0.028","0.655","0.141",86,33,8,1,8,"58.0",38,52,"0.216",241,"0.357","33","1134","3.993","0","1","1","3","0.327","0.684","0","8","2","5","2","33","560","138","185","10","13","77","18","0"
518792,2016,255,"Jason Heyward","Jason","CHC","Chicago Cubs","NL","RF","Outfielder","RF",592,172,".266","0.091","0.157","0.012","0.581","0.094",142,61,27,1,7,"93.0",54,122,"0.23",530,"0.325","49","2281","3.853","4","11","0.733","5","0.306","0.631","1","12","2","0","1","60","942","161","440","48","50","160","44","0"
458085,2016,280,"Chris Coghlan","Chris","CHC","Chicago Cubs","NL","LF","Outfielder","LF",300,83,".235","0.117","0.243","0.02","0.479","0.13",99,35,12,2,6,"73.0",35,49,"0.188",261,"0.318","30","1191","3.97","1","2","0.667","3","0.29","0.608","0","4","1","3","0","38","515","131","189","9","13","80","13","0"
519333,2016,299,"Matt Szczur","Matt","CHC","Chicago Cubs","NL","LF","Outfielder","LF",200,74,".305","0.065","0.195","0.025","0.333","0.141",107,30,9,1,5,"39.0",13,48,"0.259",185,"0.4","24","760","3.8","4","2","0.333","1","0.312","0.712","1","2","0","2","1","27","395","94","147","16","14","42","23","0"
546991,2016,356,"Albert Almora Jr.","Albert","CHC","Chicago Cubs","NL","CF","Outfielder","OF",117,51,".315","0.043","0.171","0.026","0.25","0.179",47,14,9,1,3,"20.0",5,31,"0.277",112,"0.455","14","394","3.368","0","0",NULL,"0","0.308","0.763","0","5","0","0","0","15","200","47","92","1","10","35","6","0"
453562,2016,394,"Jake Arrieta","Jake","CHC","Chicago Cubs","NL","P","Pitcher","P",70,27,".429","0.057","0.4","0.029","0.143","0.154",31,7,2,1,2,"28.0",4,17,"0.262",65,"0.415","7","305","4.357","0","0",NULL,"0","0.304","0.719","1","1","0","0","0","7","145","53","38","1","3","10","6","0"
600303,2016,394,"Tommy La Stella","Tommy","CHC","Chicago Cubs","NL",NULL,NULL,"DH",169,60,".319","0.107","0.16","0.012","0.667","0.135",74,17,12,1,2,"27.0",18,40,"0.27",148,"0.405","11","698","4.13","1","0","0","2","0.357","0.762","0","2","0","1","0","25","317","70","121","6","14","36","7","1"
594772,2016,516,"Jake Bucha","Jake","CHC","Chicago Cubs","NL","P","Pitcher","P",1,0,NULL,"0","1","0",NULL,"0",2,0,0,0,0,"1.0",0,0,"0",1,"0","0","4","4","0","0",NULL,"0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0"
502239,2016,516,"Trevor Cahill","Trevor","CHC","Chicago Cubs","NL","P","Pitcher","P",11,1,".250","0.091","0.364","0","0.25","0",51,1,0,0,0,"4.0",1,1,"0.125",8,"0.125","1","42","3.818","0","0",NULL,"0","0.222","0.347","2","0","0","0","0","0","18","3","6","0","1","4","0","0"
600869,2016,516,"Jeimer Candelario","Jeimer","CHC","Chicago Cubs","NL","3B","Third Base","3B",14,1,".167","0.143","0.357","0","0.4","0",5,0,0,0,0,"5.0",2,1,"0.091",11,"0.091","0","56","4","0","0",NULL,"1","0.286","0.377","0","0","0","1","0","1","26","7","6","0","1","3","1","0"
