playerid;playerfullname;playerusename;positionabbrev;position;primarypositionabbrev
114944;Wilbur Good;Wilbur;RF;Outfielder;RF
118079;Robert Machado;Robert;C;Catcher;C
118984;Lennie Merullo;Lennie;SS;Shortstop;SS
115445;Ollie Hanson;Ollie;P;Pitcher;P
643565;Mike Tauchman;Mike;RF;Outfielder;RF
502239;Trevor Cahill;Trevor;P;Pitcher;P
124050;Butch Weis;Butch;OF;Outfield;OF
123061;Steve Swisher;Steve;C;Catcher;C
114288;Dee Fondy;Dee;1B;First Base;1B
114726;Doc Gessler;Doc;CF;Outfielder;RF
641561;Johneshwy Fargas;Johneshwy;NULL;NULL;CF
116191;Tyler Houston;Tyler;C;Catcher;3B
573185;Dan Straily;Dan;P;Pitcher;P
120025;Jack O'Neill;Jack;C;Catcher;C
538227;Hisanori Takahashi;Hisanori;P;Pitcher;P
124761;Bob Zick;Bob;P;Pitcher;P
111937;Ron Campbell;Ron;2B;Second Base;2B
122643;Tuck Stainback;Tuck;RF;Outfielder;OF
113645;Shawon Dunston;Shawon;SS;Shortstop;SS
113332;Mike Diaz;Mike;C;Catcher;1B
110129;Manny Aleander;Manny;NULL;NULL;SS
120663;Elmer Ponder;Elmer;P;Pitcher;P
120218;Mark Parent;Mark;C;Catcher;C
116087;Charlie Hollocher;Charlie;SS;Shortstop;SS
117158;Johnny Kling;Johnny;C;Catcher;C
117863;Kenny Lofton;Kenny;CF;Outfielder;CF
122024;Tommy Sewell;Tommy;PH;Pinch Hitter;PH
119741;Joel Newkirk;Joel;P;Pitcher;P
123305;Scot Thompson;Scot;RF;Outfielder;RF
120502;Art Phelan;Art;3B;Third Base;3B
150273;Calvin Murray;Calvin;CF;Outfielder;CF
118228;Hal Manders;Hal;P;Pitcher;P
448802;Jaime Garcia;Jaime;P;Pitcher;P
113390;Alec Distaso;Alec;P;Pitcher;P
112083;Hugh Casey;Hugh;P;Pitcher;P
119028;Ralph Michaels;Ralph;SS;Shortstop;3B
676369;Nelson VelĂˇzquez;Nelson;CF;Outfielder;RF
500721;Yoervis Medina;Yoervis;P;Pitcher;P
119514;Bob Muncrief;Bob;P;Pitcher;P
121165;Lance Richbourg;Lance;RF;Outfielder;RF
119832;Wayne Nordhagen;Wayne;NULL;NULL;RF
115283;Stan Hack;Stan;3B;Third Base;3B
115162;Burleigh Grimes;Burleigh;P;Pitcher;P
116743;Claude Jonnard;Claude;P;Pitcher;P
114844;Doug Glanville;Doug;NULL;NULL;CF
121831;Freddy Schmidt;Freddy;P;Pitcher;P
592178;Kris Bryant;Kris;3B;Third Base;RF
123353;Joe Tinker;Joe;SS;Shortstop;SS
123101;Bennie Tate;Bennie;C;Catcher;C
114767;Norm Gigon;Norm;NULL;NULL;2B
114935;Luis Gonzalez;Luis;LF;Outfielder;LF
